headline,link,text
Sensitisation programme on HIV/AIDS,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Sensitisation-programme-on-HIVAIDS/article16561404.ece'],)","Staff Reporter,TIRUNELVELI: Representatives from various key government departments participated in a sensitisation programme on HIV/AIDS held here on Thursday.,To check the HIV infection, the Tamil Nadu State AIDS Control Society has planned to establish the district-level units and hence the training is being imparted to the key development department officials.,In the training held here on Thursday, C.K. Veeranan, Project Officer, District Rural Development Agency, Muthu Meenal of Mahalir Thittam, Bella, P.A. To Collector (Rural Development) and others participated."
India can be model for rest of the world on HIV prevention: Gates,"(['http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/India-can-be-model-for-rest-of-the-world-on-HIV-prevention-Gates/article16562978.ece'],)","Aarti Dhar,NEW DELHI: Bill Gates, co-chairman of the Bill and Melinda Gates Foundation, has said India’s leadership on HIV/AIDS prevention can be a model for the rest of the world.,He said this during a meeting with Union Health and Family Welfare Minister Ghulam Nabi Azad here over the weekend. “The Gates Foundation is committed to working in India for a long time,” Mr. Gates said.,
,
,Mr. Azad informed Mr. Gates about India’s road map for the introduction of new vaccines under the Universal Immunisation Programme to cover more vaccine preventable diseases.,He appreciated the efforts being made by the Bill and Melinda Gates Foundation to discover and develop new vaccines, and sought the continued support of the Foundation for the health programme in India.,
,
,Appreciating the Foundation’s role in the National Aids Control Programme through Avahan, and in supporting the National Polio Programme, Mr. Azad reiterated the government’s commitment to meeting the millennium development goals, particularly those related to the reduction of the Infant Mortality Rate and Maternal Mortality Rate, and diseases like polio, tuberculosis, and malaria.Union Health and Family Welfare Secretary Naresh Dayal, Director General of the National Aids Control Organisation Sujatha Rao, Secretary of Health Research V. M. Katoch, and Director General of Health Services R. K. Srivastava participated in the discussion."
HIV patient alleges neglect in treatment,"(['http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/HIV-patient-alleges-neglect-in-treatment/article16259031.ece'],)","A person admitted to the MKCG Medical College Hospital with HIV symptoms has alleged that he is being neglected during treatment. With the help of a social organisation, Manav Adhikar Surakhya Manch (MASM), he has approached the State Human Rights Commissioner and the Revenue Divisional Commissioner (RDC), southern division, for intervention so that he could get proper treatment.,According to Abani Gaya of MASM the condition of the patient is critical. The HIV positive patient hails from Kashipur block in Rayagada district. He also suffers from leprosy. His HIV infection has added to the woes. The patient has alleged that he is not getting proper care and attention due to his HIV status. Although it is too hard for him to walk around, yet no wheel chair has been provided to him. Yet he is being directed by doctors to visit different sections of the hospital to get different tests done, he alleges.,The HIV positive man has also alleged that his scheduled operation is being intentionally delayed.,The Superintendent of the medical college during his interaction with the MASM activists has stated that the date for his operation will be fixed with the arrangement of proper amount of blood of A+ group needed by the patient.,Regional coordinator of the Orissa State AIDS Control Society (OSACS) Loknath Mishra has said they have also received information about the HIV positive patient admitted in the medical college hospital. “We are making all possible efforts so that he could get all possible medical help without any discrimination due to his HIV status,” he says."
Campaign launched to promote voluntary HIV test,"(['http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Campaign-launched-to-promote-voluntary-HIV-test/article16554380.ece'],)","Staff Reporter,
,
,
,
,VISAKHAPATNAM: The AP States AIDS Control Society launched a special campaign named ‘Shubam’ to promote voluntary HIV test among high-risk groups like female sex workers, migrants and truckers.,The campaign will continue till July 30 to cover all those belonging to high-risk groups under targeted intervention.,he programme was launched by Regional Director of Medical and Health Satya Bala.,Andhra University NSS coordinator Ramachandra Rao, GVMC Medical Officer K.S.N.G. Sastry and Deputy Medical and Health Officer P. Rajendra Prasad were present.,A poster was released on the occasion to create awareness on prompt reference to testing centres for HIV diagnosis, convert all the unknown HIV cases to known cases and streamlining positive cases to care, support and treatment services.,About 200 people from high-risk groups and activists from NGO including PSO, ACCEPT, ADAR, Chaitanya Jyothi, GSS, VLOWA attended the inaugural. PSI Mobile Integrated Counselling and Testing Centre (ICTC) van provided for counselling and testing services.,
,
,In her speech, Dr. Satya Bala appealed to all the NGOs/community based organisations to promote the high-risk group population to avail the services at their doorsteps through PSI mobile van and also at all government ICTC centres in the district.,Dr. Rajendra Prasad explained about the present scenario of high-risk behaviour and the necessity of the programme for the people vulnerable to HIV infection. He requested all the NGOs to make the campaign a success."
Campaign to promote voluntary HIV testing,"(['http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Campaign-to-promote-voluntary-HIV-testing/article16552584.ece'],)","
,
,HYDERABAD: Andhra Pradesh State Aids Control Society (APSACS) Director R. Chandravadan has cautioned people against utilising the services for HIV testing at private clinics, saying they do only one test as against three done compulsorily by the government-run Integrated Counselling and Testing Centres (ICTCs).,At a press conference here on Thursday, he said “it is dangerous to go to private services. It is a big mistake.” While the ICTCs carry out three tests on a mandatory basis, most of the times in private services, only one test was conducted which was also not “fool-proof.” He said the private nursing homes do not have trained lab technicians and counsellors for dealing with HIV cases.,
,
,Mr. Chandravadan announced that APSACS was launching a special campaign ‘Shubam’ to promote voluntary HIV testing among the most vulnerable groups like female sex workers, men having sex with men, migrants and truckers. The campaign will be taken up in a mission mode manner from July 12 to 30. It aims to improve referral to testing centres, convert all unknown HIV cases to known cases and streamline positive cases towards care, support and treatment services. Around one lakh people were expected to get tested during the special drive.,He said that of the total projected population of 8, 48, 43, 957 in the State, an estimated 50 per cent were sexually active adults. Among them, 25. 45 lakh (six per cent) were estimated to be prone to risky sexual behaviour. He said that it was estimated that the population of high risk groups was 1.64 lakh and only 10 per cent of them know their HIV status.,
,
,The Shubam campaign would also address the general population and would be conducted every year. He said HIV prevalence continued to be on the downward trend and the goal was to totally reverse and halt its spread by 2012.,Currently, there were 677 ICTCs in the State and another 250 would be started soon. Another 80 such centres would be started in Public-Private Partnership mode in private nursing homes."
HIV screening camp for transgenders,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/HIV-screening-camp-for-transgenders/article16502168.ece'],)","CAUTIOUS: HIV screening camp in progress at Tiruchi.
 
,Staff Reporter,
,
,TIRUCHI: A total of 25 transgenders were screened for HIV at a special free camp organised under the auspices of the All India Aravanaigal Rights and Rehabilitation Centre here on Saturday.,Inaugurating the camp, Rani Dinesh, said that the objective of the camp was to ensure that the transgenders were free from the incidence of the ailment.,The Member of the Tamil Nadu Aravanigal Welfare Board, P. Mohana, said that this was the first time that the camp was being organised in cityto benefit the needy.,The Counsellor from the Voluntary Counselling and Testing Centre, Aruna, screened the beneficiaries. She also delivered an awareness lecture on HIV.,The Secretary of the centre, P. Kajole and the president of the Aravanigal Welfare Federation, R.M. Nalini, were among those who spoke."
Awareness drive for students on HIV/AIDS,"(['http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Awareness-drive-for-students-on-HIVAIDS/article16502392.ece'],)","Special Correspondent,
,
,Hyderabad: A big awareness campaign on HIV/AIDS is planned in Ranga Reddy district targeting college students.,As many as 149 junior and 50 degree colleges will be covered in the next two months. A minimum of 200 students will be covered in each college. The District AIDS Prevention and Control Unit proposed to set up Red Ribbon Clubs in all the colleges by November end and complete the other related activities by December.,
,
,As part of this programme, a refresher course was organised here on Monday wherein 28 master trainers imparted training to students. They were told about the basics of HIV/AIDS, myths, misconceptions, drug abuse and prevention methods.,L. Shobhavathi, District Medical and Health Officer, expressed concern over the growing incidence of HIV/AIDS in the country, particularly in the State. The disease was more prevalent in the coastal districts. It was important that youth and students were made aware of the seriousness of this ailment so that they could take preventive steps.,The more Red Ribbon Clubss were set up the better it would be for combating the disease, she said."
"End hardship of HIV positive persons, government urged","(['http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/End-hardship-of-HIV-positive-persons-government-urged/article16486398.ece'],)","SHOW OF SUPPORT: A rally being taken out as part of the district-level convention of HIV/AIDS affected persons in Bidar on Wednesday.
 
,Staff Correspondent,BIDAR: A district-level convention of HIV/AIDS affected persons on Wednesday urged the Union and State governments to take steps to solve the problems being faced by the patients such as unnecessary delay in conducting medical examinations.,The convention was jointly organised by Prawarda; Organisation for Bidar Integrated Transformation (ORBIT); Beladingalu Network and Myrada, all non-governmental organisations of Bidar. The convention was held at Rangamandira in the city.,In a memorandum submitted to Deputy Commissioner Harsh Gupta addressed to Prime Minister Manmohan Singh and Chief Minister B.S. Yeddyurappa, the organisers said district hospitals should have facilities to handle delivery cases of women with HIV/AIDS; doctors who refused to treat HIV/AIDS affected patients should be dismissed from service; and blood from blood banks should be given to HIV/AIDS affected patients free of cost.,Their other demands were establishment of Anti-Retro Viral Therapy (ART) centres at all taluk headquarters; self-employment avenues for HIV/AIDS patients to make them earn their livelihood and children from HIV/AIDS families should be admitted in Morarji Desai, Navodaya and all other government-run residential schools.,The memorandum said the Union and State governments spent crores of rupees on health, education, poverty alleviation, social justice and others every year but the problems faced by HIV/ AIDS affected patients had not been given due attention.,Bidar MLA Rahim Khan asked HIV/AIDS affected patients not to lose confidence in them.,He assured the children of HIV/AIDS affected families to provide free education to them at his Roohi Education Trust in Bidar and also to assist the meritorious students with scholarships.,Mr. Harsh Gupta said he was aware that all was not well with the District Hospital in Bidar and would prompt steps to bring in reforms in the functioning of the hospital.,District Health and Family Welfare Officer Madna Vaijnath and District Surgeon Kashinath Gokhale were present. About 300 HIV/AIDS affected from across the district participated."
Revised HIV draft Bill still truncated: protesters,"(['http://www.thehindu.com/todays-paper/tp-national/Revised-HIV-draft-Bill-still-truncated-protesters/article16500335.ece'],)","Aarti Dhar,NEW DELHI: Hundreds of people living with HIV, from across the country, on Wednesday gathered outside the Union Law Ministry to protest against the latest draft of the HIV/AIDS Bill and demanded restoration of key deleted provisions.,The Bill, drafted after extensive consultations with various stakeholders including the HIV-positive and communities at risk of HIV, was finalised by the Health and Family Welfare Ministry in August 2006 and submitted to the Law Ministry in September 2007.,
,
,However, in October 2008, the Law Ministry returned a highly truncated version to the Health Ministry with important provisions deleted. In the following months, there were countrywide protests, resulting in the Law Ministry coming out with a revised draft in February.,The revised draft was also disappointing as it failed to address specific issues of relief during health care emergency for people living with HIV and AIDS, and of vulnerabilities of women and children to HIV, the protesters pointed out.,The important chapters of ‘Health Ombudsman’, ‘Special Provisions’ and ‘Special Procedures in Court’ continued to be truncated, they said.,Recently, the Law Ministry came out with its third draft, which is “not much different from the second draft with many of the important provisions still missing.”,“The Law Ministry has gone beyond its mandate and deleted substantive provisions. This is outside its domain. The work of the Law Ministry is only to check whether the provisions of the Bill are legally workable,” Anand Grover of the Lawyer’s Collective HIV/AIDS Unit said."
TB-HIV is a serious threat: WHO,"(['http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/TB-HIV-is-a-serious-threat-WHO/article16540421.ece'],)","P. Sujatha Varma,VIJAYAWADA: In the wake of the staggering new data released by the World Health Organisation about the threat of tuberculosis and the toll it takes on people affected with HIV/AIDS, medical and health authorities of Krishna district are screening people suffering from TB for any traces of HIV and vice-versa, as part of a special State-wide drive.,Warning of a global health catastrophe unfolding in the rising number of TB-HIV co-infection cases, the WHO prediction has made one thing clear – that the co-infection crisis is much bigger than it was ever thought to be.,“The primary concern of this drive is to appropriately respond to both epidemics and avoid more widespread drug resistance, care and prevention of both diseases on a priority basis,” says T.V.S.N. Sastry, Additional District Medical and Health Officer and AIDS and Leprosy Officer, Krishna district.,TB has been identified as the leading infectious killer of people living with HIV, while HIV activates dormant TB in a person, who then becomes infectious and spreads the TB bacillus to others.,“In the last four months, as many as 1,787 HIV positive people were tested for TB. Of them, 332 tested positive. Similarly, of the 1069 TB patients tested for HIV, 120 have been found positive for HIV. The patients have been referred to the TB centre and to the ICTC centre, respectively. As a final outcome, a total of 452 persons have been found to be affected by the co-infection,” says Dr. Sastry, pointing out that last year the number of co-infection cases detected in the district was much higher at 1,207.,The State-sponsored “Shubham” programme that preceded the special drive identified 3 per cent of the nearly 9,000 people screened for HIV among high-risk groups to be positive. “Krishna district stood first in the State by covering such a large number of people under the programme,” Dr. Sastry said. Female sex workers, MSMs, migrant workers were the target groups under “Shubham”. The district authorities conducted special camps at the work places of these high-risk groups . “Now that they know their positive status, they will avoid indulging in risk behaviour and that means curbing the spread of virus to a great extent,” says Dr. Sastry."
HIV CD4 cell counting equipment,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/HIV-CD4-cell-counting-equipment/article16541793.ece'],)","KRISHNAGIRI: An HIV CD4 cell counting equipment in the blood has been installed at the HIV Multi Drug Regiment Centre here recently.,The test would be done free of cost for HIV positive persons, says a press release."
Orientation session on HIV/AIDS,"(['http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Orientation-session-on-HIVAIDS/article16536159.ece'],)","An orientation session on HIV/AIDS for religious leaders is being held by COVA along with APSACS on Tuesday. It will throw light on basic facts of HIV/AIDS, modes of transmission, prevention. The event will be held at Pastoral Centre, All Saints High School, Gunfoundry, Abids, 10 a.m."
102 suffer from HIV in Thanjavur district,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/102-suffer-from-HIV-in-Thanjavur-district/article16534052.ece'],)","Special Correspondent,THANJAVUR: A total of 102 persons were identified as HIV infected in Thanjavur district from 2006-2009, said M. S. Shanmugham, Collector, here on Friday.,
,
,Speaking at the sensitisation programme for members of voluntary organisations for creating AIDS awareness among people, Shanmugham said that the incidence of HIV infection had come down in the district following awareness programmes launched by the Government and containment programmes implemented.,Non Government organisations could play a major role in creating awareness among people of AIDS, swine flu, etc.,Members of NGOs could visit orphanages and blind and deaf schools run by Government and render help to them.,This would go a long way in mitigating their misery and instil confidence in them, he said."
HIV positive persons celebrate Deepavali,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/HIV-positive-persons-celebrate-Deepavali/article16493834.ece'],)","Staff Reporter,Tirupur: Cultural programmes and distribution of sweets, dress materials marked the Deepavali celebrations of HIV positive people and their children organised by Native Medicare Charitable Trust (NMCT) at Palladam near here on Sunday.,About 250 HIV positive people, including about 25 children, were among those participated.,A.S. Sankaranarayanan, managing trustee, NMCT, said that the trust had so far identified about 400 persons, including 55 children below the age of 18 years, with AIDS during a survey carried out in Tirupur, Sulur, Sultanpet, Palladam and Avinashi blocks since 2007.,
,
,He added that the NMCT had been convening meetings of HIV infected people and the general public in the five blocks to reiterate the need to provide social, educational and health support to carriers of HIV.,Earlier, Palladam Municipal Chairman R. Ramamoorthy inaugurated the celebrations.,
,
,Joint Director of Medical and Rural Health Services said that HIV infected people could utilise the medical care and other support offered at the newly set up Anti-Retroviral Therapy (ART) centre in the Tirupur district, for prolonging their lives.,
,
,Health department sources said that Integrated Counselling and Testing Centre functioning at the District Headquarters hospital in Tirupur had identified 261 people as HIV positive since 2008."
HIV positive persons celebrate Deepavali,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/HIV-positive-persons-celebrate-Deepavali/article16494088.ece'],)","Staff Reporter,
,
,Tirupur: Cultural programmes and distribution of sweets, dress materials marked the Deepavali celebrations of HIV positive people and their children organised by Native Medicare Charitable Trust (NMCT) at Palladam near here on Sunday.,About 250 HIV positive people, including about 25 children, were among those participated.,A.S. Sankaranarayanan, managing trustee, NMCT, said that the trust had so far identified about 400 persons, including 55 children below the age of 18 years, with AIDS during a survey carried out in Tirupur, Sulur, Sultanpet, Palladam and Avinashi blocks since 2007.,He added that the NMCT had been convening meetings of HIV infected people and the general public in the five blocks to reiterate the need to provide social, educational and health support to carriers of HIV.,Earlier, Palladam Municipal Chairman R. Ramamoorthy inaugurated the celebrations.,
,
,Joint Director of Medical and Rural Health Services said that HIV infected people could utilise the medical care.Anti-Retroviral Therapy (ART) centre in the Tirupur district, for prolonging their lives."
New HIV testing to be introduced,"(['http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/New-HIV-testing-to-be-introduced/article16495988.ece'],)","Staff Reporter,
,
,
,
,BERHAMPUR: A new rapid HIV testing technology named ‘whole blood finger-prick’ would be introduced in the State soon.,According to Orissa State Aids Control Society (OSACS) sources this new rapid testing technology is being introduced by the NACO in Orissa along with Andhra Pradesh, Rajasthan, Chhatisgarh and Uttar Pradesh.,This new technology would enable testing of HIV status of a person within 20 minutes. For a general public the testing would be similar to the blood test for malaria.,The project director of OSACS, Alekh Chandra Padhiary said the major advantage of the ‘whole blood finger-prick’ technology is that for it there would be no need to separate serum and red blood cells of a blood sample to test for HIV. This technology has been quite successful in Africal countries where most people are being tested for HIV by this new and fast technology. The conventional HIV testing kits being used now accept only serum collected from blood samples to test for HIV antibody. The presence of HIV antibody in one’s blood hints at HIV infection.,A centrifuge which separates the serum from the blood is a major need of conventional HIV testing technologies.,The new technology being tried now accepts whole blood and can tell HIV status by a simple finger prick.,A workshop was organised in Bhubaneswar on Thursday for the implementation of this HIV testing technology in Orissa. It was attended by a team from the NACO, officials of the OSACS, Chief District Medical Officers (CDMO) of Ganjam, Angul, Koraput, Bolangir, Balasore and Bhadrak districts.,These are HIV prone districts of Orissa.,The process of HIV testing through ‘whole blood finger-prick’ is expected to be first introduced in Ganjam district, the most AIDS prone district of Orissa.,
,
,Through this technique the Auxiliary Nurse cum Midwives (ANM) of remote areas would be able to test blood samples of pregnant women so in case of HIV infection they could be taken to the Integrated Counseling and Testing Centres early to save the stillborns from HIV infection.,In Ganjam district married women usually get infected by their HIV infected migrant labourer husbands."
TANKER Foundation’s dialysis unit for HIV positive persons inaugurated,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/TANKER-Foundationrsquos-dialysis-unit-for-HIV-positive-persons-inaugurated/article16485595.ece'],)","Special Correspondent,
,
,CHENNAI: A special dialysis unit for persons with HIV run by TANKER Foundation was inaugurated by Vayalar Ravi, Union Minister for Overseas Indian Affairs, here on Saturday.,Two haemodialysis machines have been procured and dialysis will be done at subsidised rates for people living with HIV and are unable to afford treatment. While 30 per cent of the patients will be helped without levying any charges, the others will be provided treatment at Rs.400 per session, Georgi Abraham, TANKER’s founder trustee said.,The function was held at Madras Medical Mission Hospital in Mogappair. The HIV Dialysis Unit will be located at 766 Poonamalle High Road, Kilpauk, according to Latha Kumaraswami, managing trustee, TANKER Foundation.,It is estimated that 17 per cent of persons infected with HIV have chronic kidney disease. The HIV infection itself is a cause for renal disease, Dr. Abraham said. Even in cases where people can afford the treatment, many hospitals turn patients away because they are HIV positive. “All you have to do is to follow universally recommended hygiene and sanitation protocols in the normal course of treating patients,” he added.,Positive people have the right to care and treatment, too and to help these patients TANKER Foundation decided to set up a special unit for them. Mr. Ravi said the new venture will help poor people, who have already been isolated because of stigma and discrimination. HIV positive people should feel wanted and TANKER’s new scheme would ensure that, he added. He later released a book on Nephrology authored by Dr. Abraham.,Suniti Solomon, Director, YRG Care, complimented TANKER for setting up the special unit, which would be of immense help to poor patients.,Dilip Mathai of Christian Medical College, Vellore, said a lot had to be done in terms of providing health care to positive people, even performing transplantation surgeries."
HIV entry ban repealed,"(['http://www.thehindu.com/todays-paper/tp-opinion/HIV-entry-ban-repealed/article16485944.ece'],)","By announcing the end of a 22-year-old ban on the entry of people with HIV into the United States, President Barack Obama has once again shown that scientific considerations alone would shape decisions concerning science. The U.S. Department of Health and Human Services (HHS) has followed up promptly, by publishing the rule in the Federal Register. The U.S. was one of a dozen countries that have archaic laws barring the entry of people infected by HIV. Although President George Bush amended the Immigration and Nationality Act last year, the HHS did not remove it from the list of communicable diseases. The ban in the U.S. was enacted in 1987 amidst widespread fears that HIV, like tuberculosis, was a communicable disease and spread through physical or respiratory contact. Accordingly, HIV infection was enlisted as a “communicable disease of public health significance” and the entry of visitors and immigrants with the infection banned. Despite the aetiology and routes of transmission of HIV becoming clearer over the last two decades, and UNAIDS and the International Organisation for Migration (IOM) concluding, in 2004, that “HIV/AIDS-related travel restrictions have no public health justification,” the irrational bar remained.,In fact, the illiberal law has not served the purpose of containing the spread of a virus that has become endemic in the U.S. The Centers for Disease Control and Prevention (CDC) estimates that the virus has infected about one million people. The entry ban has also ended up creating stigma and discrimination against people living with HIV/AIDS, and this in turn has kept people away from getting tested. According to the CDC, about one in five are not aware of their infection status and are responsible for 50-70 per cent of all new sexually transmitted infection cases. The fear of discrimination is one reason why the CDC 2006 recommendation that everyone between 13 years and 64 years should be routinely tested for the infection in medical encounters has not been heeded. An offshoot of the ban is that no international HIV/AIDS scientific conference has been held in the U.S. for the past 20 years. All this is likely to change. The U.S., which has played a pivotal role in fighting the war against the virus in Africa, can now set its house in order. Nearly half a dozen sexually transmitted diseases such as syphilis and gonorrhoea have been wrongly classified as communicable diseases of public health significance. The CDC may remove them from its list in due course after a scientific review."
HIV risk perception among students has come down: Subburaj,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/HIV-risk-perception-among-students-has-come-down-Subburaj/article16483094.ece'],)","Special Correspondent,CHENNAI: While it was encouraging to note increasing levels of condom use across all high risk groups, it was a cause for concern that HIV risk perception among students had come down, Principal Secretary, Health, V.K.Subburaj, said.,Commenting on the results of the Behaviour Surveillance Survey (BSS) carried out by AIDS Prevention And Control (APAC) Project in Tamil Nadu and Puducherry, Mr. Subburaj said that it was unacceptable for risk perception to fall, especially among youngsters, both girls and boys. “Despite years of information communication, we have not managed to get through to some groups and discrimination and stigma still continue. So we have to modify our information and communication strategies years,” he added.,Clearly there is a need to step up activities of the Red Ribbon Clubs, started in educational institutions to spread awareness of HIV/AIDS, he suggested. However, if all agencies focussing on their allocated tasks properly, then it was possible to reach a stage of zero new infections, Mr.Subburaj said.,Earlier, he released a monograph on the results of the 12th wave of the BSS in Tamil Nadu and the seventh survey in Puducherry since 2001. The survey was conducted across 13 different population groups in Chennai, Coimbatore, Madurai, Theni, Salem, Vellore, Erode, Nagercoil, Dindigul, Palani, Tiruchirapalli and Tuticorin. In Pondicherry, the survey covered Puducherry and Karaikal districts. Kancheepuram, Villupuram, Tiruchi, Karur, Kanyakumari, Tirunelveli and Tuticorin were covered as Intensive Intervention Districts of APAC.,The population groups were female sex workers, truckers and helpers, male youth in slums, factory workers, migrant workers, injecting drug users, men who have sex with men, transgenders, male patients at STD Clinics, Students and for the first time, People Living with HIV were included.,The key results indicated that there were both positives and negatives, Bimal Charles, director, APAC, said. Knowledge on at least two correct methods of preventing Sexually Transmitted Infections and HIV was close to 100 percent among all population groups except among female factory and migrant workers. Again, respondents almost universally reported that consistent condom usage prevents HIV, but more efforts are required to counter myths and misconceptions in intervention programs to spread awareness of STI and HIV.,As far as condom use goes, while it is high with paid partners, usage with non-paid or regular partners is comparatively lower. Needle sharing behaviour among IDUs has been showing a declining trend across all the waves and in the current wave, around 43.0 per cent reported such behaviour.,The incidence of STI is low in all categories and the treatment-seeking-behaviour from a qualified health practitioner continued to be very high, with a majority approaching a government STD clinic for the treatment.,There has been an increase in testing practices among all groups except migrant workers, factory workers and youth in slums. This is mainly due to the fact that risk perception among them is low, APAC officials pointed out.,S.Vijayakumar, project director, Tamil Nadu State AIDS Control Society, said the key now is to use the lessons of the BSS to translate interventions into action.,Also indicating that a “zero-infection” rate was within the realm of achievement in the State, he urged all partners to ensure that healthcare is provided comprehensively and cost effectively to all those who need it.,E.S.Krishnamoorthy, honorary secretary, Voluntary Health Services, said the studying behaviour is important as it helps to plan for the future, prevent further infections, and stem the tide of the epidemic, at least in this instance. There are many lessons from the data of the BSS that could change the way policy is drawn up in future, he added."
TANKER Foundation’s dialysis unit for HIV positive persons inaugurated,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/TANKER-Foundationrsquos-dialysis-unit-for-HIV-positive-persons-inaugurated/article16485595.ece'],)","Caring gesture: Varun Krishna, grandson of Union Minister for Overseas Indian Affairs Vayalar Ravi inaugurating the dialysis unit for underprivileged HIV patients in Chennai on Saturday. Vayalar Ravi is in the picture.
 
| Photo Credit: , ,Special Correspondent,CHENNAI: A special dialysis unit for persons with HIV run by TANKER Foundation was inaugurated by Vayalar Ravi, Union Minister for Overseas Indian Affairs, in the city on Saturday.,Two haemodialysis machines have been procured and dialysis will be done at subsidised rates for people living with HIV and are unable to afford treatment. While 30 per cent of the patients will be helped at no charge, the others will be provided treatment at Rs.400 per session, Georgi Abraham, TANKER’s founder trustee said.,The function was held at Madras Medical Mission Hospital in Mogappair. The HIV Dialysis Unit will be located at 766, Poonamalle High Road, Kilpauk, according to Latha Kumaraswami, managing trustee, TANKER Foundation. It is estimated that 17 per cent of persons infected with HIV have chronic kidney disease.,The HIV infection itself is a cause for renal disease, Dr.Abraham said.,Even in cases where people can afford the treatment, many hospitals turn patients away because they are HIV positive. “All you have to do is to follow universally recommended hygiene and sanitation protocols in the normal course of treating patients,” he added. .,
,
,Mr. Ravi said the new venture will help poor people, who have already been isolated because of stigma and discrimination. HIV positive people should feel wanted and TANKER’s new scheme would ensure that, he added.,He later released a book on Nephrology authored by Dr. Abraham."
Naga Babu’s gesture to HIV children,"(['http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Naga-Babursquos-gesture-to-HIV-children/article16476306.ece'],)","Love begets love: Actor Naga Babu interacting with a child at the Charumathi Childcare Centre for HIV victims on the occasion of Children’s Day in Nalgonda on Saturday.
 
| Photo Credit: , ,Staff Reporter,
,
,NALGONDA: Brother of Praja Rajyam president Chiranjeevi and Telugu film actor K. Nagendra Babu distributed fruits, clothes and other useful material to the inmates of Charumathi Childcare Centre for HIV-affected children on the occasion of Children’s Day (Pandit Nehru’s birth anniversary) here on Saturday.,Speaking on the occasion, Mr. Naga Babu called upon the everyone to emphatise extend support to the HIV-affected and strive to become active partners in the AIDS awareness programmes.,Emotional support and care will greatly help these children, orphaned by AIDS, to cope with life and its ensuing problems, he remarked. He also underscored the need for institutionalised help to the HIV victims so as to enable them to effectively access health, educational and other services, like any normal person."
Dindigul Government Hospital gets advanced equipment for HIV/AIDS tests,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Dindigul-Government-Hospital-gets-advanced-equipment-for-HIVAIDS-tests/article16477463.ece'],)","Staff Reporter,DINDIGUL: From now, patients need not go to Madurai for advanced tests to confirm HIV/AIDS and take treatment. They could get access to all tests under one roof, including enumeration of CD4 cells, most important tests to take decision whether to initiate therapy for HIV patients or not, thanks to the installation of most advanced BD FACS Cluster Determiner 4 equipment at Anti Retroviral Therapy (ART) Centre in Dindigul Headquarter Government Hospital. Commissioning work was over. It would be put to use in a day or two, according to sources in the GH.,The Tamil Nadu State AIDS Control Society (TANSACS) has offered this equipment costing Rs.8 lakh to the GH. “It is a boon to HIV patients and physicians. It is a new and reliable test for the enumeration of CD4 cells in peripheral blood,” said doctors in the GH.,With the installation of this equipment, the ART Centre has wiped out its last resource-constraint. The CD4 lymphocytes (T-helper cells) were the major target cells of HIV infection. Progressive decline in CD4 levels, caused by various pathological processes associated with HIV infection, would increase the risk of developing opportunistic infections. The CD4 counts would serve as the major clinical indicators of immune competence in HIV patients. It would also help doctors in decision-making whether to initiate the therapy or not, doctors added.,If the CD counts level was less than 200, Anti-Retroviral treatment would be commenced immediately as this level indicated severe weakened immune system. If the level was more than 200, effective counselling would be given to patients to maintain nutrition levels.,The ART centre had been referring on an average 250 cases to Madurai for this test every month. From now, they could avail this facility in Dindigul GH itself.,The ART Centre also has HIV detection facilities, ART treatment, Legal Aid Cell for persons living with HIV and tests and treatment facilities for all venereal diseases under single roof. With this facility, the ART centre in Dindigul has become a full fledged institution to cater to all the needs of persons with HIV, doctors added."
